0: 24,27
6: 23,8,46,39,43,7
7: 9,35,43,8,6
8: 23,12,6,7,9,18
9: 13,7,35,8,18,17
10: 27,28
11: 17,25,41,42
12: 23,8,15,34,32,18
13: 9,35,40,17
14: 38,33,31
15: 38,33,23,12,24,34
16: 36,26
17: 11,25,13,9,18
18: 32,12,8,9,17,25
19: 44,47,37,28
20: 37,22
21: 39,45,29
22: 41,42,20,37
23: 12,8,6,46,38,15
24: 0,27,33,15,34
25: 11,17,32,18,47,42
26: 39,43,29,16,36
27: 0,24,44,34,10,28
28: 37,27,44,19,10
29: 21,26
30: 31,45
31: 30,45,14,38,46
32: 44,34,18,12,25
33: 14,38,15,24
34: 44,32,15,12,24,27
35: 13,7,9,36
36: 16,26,43,35
37: 20,28,19,22
38: 14,33,15,31,23,46
39: 21,26,43,45,6
40: 13
41: 22,42,11
42: 22,41,47,11,25
43: 39,26,36,6,7
44: 34,32,19,27,28
45: 21,39,30,31,46
46: 23,6,31,45,38
47: 19,25,42
