0: 24,27
6: 23,8,39,36,7
7: 9,36,35,8,6
8: 23,12,6,7,9,18
9: 13,7,8,18,17
10: 27
11: 17,19,25
12: 8,15,34,32,18
13: 9,17
14: 31,38
15: 33,38,23,12,24,34
16: 36,26
17: 11,13,9,25,18
18: 32,25,12,8,9,17
19: 11,28,25,37,22
20: 37,22
21: 39,26,30
22: 19,20,37
23: 8,6,31,15,38
24: 0,27,33,15,34
25: 28,32,18,11,17,19
26: 21,39,29,16,36
27: 0,24,28,34,10
28: 34,32,25,27,19,37
29: 26
30: 21,31
31: 14,38,30,23
32: 28,34,25,18,12
33: 15,38,24
34: 28,32,15,12,24,27
35: 36,7
36: 16,35,39,26,6,7
37: 20,28,19,22
38: 14,31,33,15,23
39: 21,26,36,6
